"Sex","Cohort","SampleName","Group","P1_AGD","P7_AGD","P14_AGD","P1","P7","P14","P84","P1_AGI_BW","P7_AGI_BW","P14_AGI_BW","Puberty","Cort","dam"
"F",1,"NMX02F","Orange",1.79,3.67,6.6,5.5175,14.376,31.4,230.5,1.012990993,1.509338707,2.092027486,36.6666666666667,1123.956665,"2"
"F",1,"NMX06F","Orange",1.97,3.86,6.62,7.4549,17.4257,32.6,241.4,1.008445159,1.488871535,2.072297594,36.6666666666667,629.0959393,"6"
"F",1,"NMX08F","Orange",1.91,3.64,6.42,6.8886,15.8251,30.9,230,1.003821234,1.449837169,2.045889633,36.6666666666667,1005.934693,"8"
"F",1,"NMX09G","Orange",1.92,3.94,6.61,6.2766,15.8703,32.1,253.2,1.040861819,1.567837964,2.079855272,36.6666666666667,393.0188773,"9"
"F",1,"NMX09H","Orange",1.84,3.91,6.48,5.8505,14.6899,30.6,253.1,1.02114362,1.596505715,2.071736561,36.6666666666667,1133.954389,"9"
"F",2,"NMX13N","Orange",1.74,2.93,5.94,5.4601,12.6591,27.8,220.5,0.988133711,1.257187372,1.960822039,37,1262.814532,"13"
"F",2,"NMX16G","Orange",2.01,3.85,7.23,6.9068,17.1191,34.4,259.1,1.055448622,1.493827396,2.223064942,36,430.9451923,"16"
"F",2,"NMX19H","Orange",2.1,3.78,6.37,7.1667,15.7535,37.2,260.5,1.089213176,1.507877685,1.908205394,36,1204.081641,"19"
"F",2,"NMX22F","Orange",1.81,3.29,5.65,5.0545,13.123,30.6,218.8,1.05467627,1.394820072,1.806375242,40,1075.805978,"22"
"F",2,"NMX28G","Orange",2.06,3.44,5.71,6.4907,13.8425,28.4,251.2,1.104341454,1.432694516,1.871529433,36,757.5598237,"28"
"F",2,"NMX30G","Orange",1.89,3.66,6.21,6.4421,15.4969,30.7,219.1,1.015748018,1.468022826,1.983256144,35,643.9536862,"30"
"F",1,"NMX01F","Blue",1.88,3.56,6.51,5.2312,14.1787,31.4,223.5,1.082989072,1.470859512,2.063499838,37.2222222222222,1006.892997,"1"
"F",1,"NMX03F","Blue",2.03,3.7,6.67,5.5806,14.0248,30.2,224.2,1.144464712,1.534273669,2.141855591,37.2222222222222,1167.010856,"3"
"F",1,"NMX07G","Blue",2.02,3.89,6.5,6.8871,15.5827,29.7,241.5,1.061709997,1.557406674,2.098913497,37.2222222222222,680.8408305,"7"
"F",1,"NMX10G","Blue",2.04,3.96,6.82,6.4348,15.8384,32.7,237,1.096777375,1.576853756,2.132726296,37,707.0026973,"10"
"F",2,"NMX12F","Blue",2.23,3.17,6.12,6.6302,12.6501,27.1,223,1.187032619,1.360487667,2.037487682,35,1182.102916,"12"
"F",2,"NMX15F","Blue",1.95,3.32,6.52,6.1247,14.7044,35.1,228.9,1.065793346,1.355155029,1.991339111,36,1102.396186,"15"
"F",2,"NMX17G","Blue",2.15,3.48,7.05,6.4061,14.4757,30.1,231.8,1.15764097,1.427905235,2.266384642,41,1027.676802,"17"
"F",2,"NMX21F","Blue",1.98,3.27,5.72,6.098,15.1814,30.4,240.8,1.083767318,1.320617795,1.832756778,39,1121.363958,"21"
"F",2,"NMX24F","Blue",1.92,3.16,5.95,5.3183,12.2273,26.6,235.6,1.09996015,1.371650796,1.993225434,36,1195.046203,"24"
"F",2,"NMX25G","Blue",1.69,3.15,6.37,5.3371,13.2401,31,216.1,0.967055927,1.331517255,2.027770813,39,633.7555408,"25"
"F",2,"NMX27G","Blue",1.92,3.23,6.14,6.191,15.4957,30.4,224.9,1.045637044,1.295583641,1.967329828,38,379.7309913,"27"
"F",2,"NMX29F","Blue",2.15,3.83,6.88,6.9187,17.5315,37.8,256.7,1.128314822,1.474322235,2.050018774,34,328.386956,"29"
"M",1,"NMX02A","Orange",3.94,7.29,11.79,6.1281,15.7727,32,345.9,2.153050786,2.906869358,3.713617295,43.5,111.0410282,"2"
"M",1,"NMX06A","Orange",4.14,7.36,10.72,7.6079,17.5952,33.2,416,2.10496757,2.829739205,3.335406398,43.5,318.5946312,"6"
"M",1,"NMX08A","Orange",4.05,7.41,10.9,7.7931,16.5858,32.7,374.9,2.042764367,2.905623905,3.408609476,43.5,397.2403193,"8"
"M",1,"NMX09A","Orange",3.99,7.44,11.53,6.3117,16.5659,34.3,376.4,2.159023882,2.918555281,3.548661711,43.5,443.8129064,"9"
"M",2,"NMX13A","Orange",3.35,6.75,10.65,5.3142,13.6326,29.1,346.9,1.919694742,2.825601259,3.462464091,42,595.6341307,"13"
"M",2,"NMX16B","Orange",3.98,7.17,11.26,6.8419,17.2896,33.6,400.3,2.09648052,2.772835935,3.489463271,44,644.405715,"16"
"M",2,"NMX18D","Orange",4.23,7.92,13,7.8761,19.9487,47.7,360.9,2.126032799,2.9202519,3.584571322,42,729.1501082,"18"
"M",2,"NMX19C","Orange",3.88,6.41,11.11,6.6341,13.9126,32.2,348.1,2.064925501,2.665151674,3.492170466,42,646.6131853,"19"
"M",2,"NMX22A","Orange",3.38,6.3,11.13,5.8003,15.1043,33,361.2,1.881192397,2.548631316,3.469955067,45,742.8298403,"22"
"M",2,"NMX23B","Orange",4.25,7.25,11.79,7.2186,17.2429,36.4,375.9,2.199064348,2.806303062,3.557514486,46,484.5910951,"23"
"M",2,"NMX28B","Orange",4.16,6.77,10.86,7.2233,16.0794,30.2,349.6,2.152028969,2.682246717,3.487339088,43,431.4193398,"28"
"M",2,"NMX30A","Orange",4.12,7.46,11.05,7.0551,15.8885,31.2,342,2.1481412,2.967412087,3.51002934,44,161.7392636,"30"
"M",1,"NMX01A","Blue",3.97,7.14,11.31,5.9989,15.409,34.1,371.1,2.184908727,2.869283054,3.487743023,44.8888888888889,786.1415999,"1"
"M",1,"NMX03B","Blue",4.02,6.57,11.02,5.5104,14.2222,29.6,357.9,2.275962024,2.711709166,3.562468428,44.8888888888889,164.5706652,"3"
"M",1,"NMX07B","Blue",4.12,7.41,11.15,7.4265,17.1007,31.8,424.6,2.111717509,2.876163553,3.519377291,44.8888888888889,353.6738606,"7"
"M",1,"NMX10A","Blue",4.19,8.14,11.24,6.4661,17.2572,33,373.4,2.249054005,3.149930421,3.504249322,44,527.2300786,"10"
"M",2,"NMX12B","Blue",3.84,7.02,10.19,6.7649,14.2056,28.4,349.8,2.030380485,2.898570836,3.339909794,48,250.6408402,"12"
"M",2,"NMX14B","Blue",3.65,6.49,9.59,5.2832,11.5947,27.8,324.8,2.095690673,2.867421417,3.165704269,49,579.6256146,"14"
"M",2,"NMX17B","Blue",3.91,7.38,10.29,6.774,14.8939,30.1,354.1,2.066466456,2.999532353,3.307957158,42,706.3348311,"17"
"M",2,"NMX21C","Blue",3.16,6.64,9.97,5.6966,14.5115,29.8,369.4,1.7693558,2.722266532,3.215805228,45,743.4925887,"21"
"M",2,"NMX24C","Blue",3.56,6.98,10.68,5.4972,14.0021,30.3,337.4,2.017140513,2.895949811,3.42576086,43,431.8318659,"24"
"M",2,"NMX25C","Blue",3.47,6.53,9.96,5.9148,13.9064,31.7,342.3,1.918739959,2.71544874,3.147068899,45,183.0547637,"25"
"M",2,"NMX27B","Blue",3.92,6.99,10.96,6.5687,17.1183,31.8,342.7,2.093114202,2.712211989,3.459405839,44,250.4356593,"27"
"M",2,"NMX29A","Blue",4.46,7.59,12.32,7.3524,18.7487,38.9,365.6,2.293639451,2.857051415,3.636030415,44,299.3434297,"29"
